"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F483",0,0,0,0,0,0,0,0,0
"F486",0,0,0,0,0,0,0,0,0
"F487",167389,260553,494446,873760,1262550,2490548,2564277,3136706,5897681
"F488",109094,66017,79309,60140,71179,65995,61698,17693,15798
"F492",2496068,2433474,2345131,2277854,2249037,1548429,1568165,1430404,1380710
"F494",0,0,0,0,0,0,0,0,0
"F497",0,0,0,0,0,0,0,0,0
"F498",0,0,0,0,0,0,0,0,0
"F499",0,0,0,0,0,0,0,0,0
"F500",0,0,0,0,0,0,0,0,0
"F501",0,0,0,0,0,0,0,0,0
"F502",0,0,0,0,0,0,0,0,0
"F505",0,0,0,0,0,0,0,0,0
"F506",1067614,2141480,2200756,2097130,2064797,2545595,2637434,4146911,2243955
"F507",534848,554774,615339,529157,655007,557217,551598,434964,617783
"F508",0,0,0,0,0,0,0,0,0
"F525",0,0,0,0,0,29478,0,0,0
"F526",0,0,0,0,0,8008,0,21115,0
"F527",0,0,0,0,0,0,0,0,0
"F528",0,0,0,0,0,0,0,0,0
"F529",0,0,0,0,0,0,0,0,0
"F530",0,0,0,0,0,0,0,0,0
"F531",376063,393603,377175,313802,358085,0,308514,302091,0
"F532",784646,790929,910028,852804,923939,0,800952,732124,0
"F533",336790,143200,139429,134219,156855,0,179815,233372,0
"F534",8335,0,0,0,0,0,0,0,0
"F536",0,0,0,0,0,0,0,0,0
"F537",0,0,0,0,0,0,0,0,0
"F538",0,0,0,0,0,0,0,0,0
"F540",0,0,0,0,0,0,0,0,0
"F542",0,0,0,0,0,0,0,0,0
"F543",0,0,0,0,0,0,0,0,0
"F544",0,989993,1299625,1462171,1530544,990980,1406234,1256275,0
"F546",697176,393676,339821,352562,275530,216807,237876,253122,0
